,s1_open,s2_open
0,4.763,6.301
1,4.354,5.813
2,4.496,5.92
3,4.594,6.018
4,4.452,5.754
5,4.443,5.793
6,4.407,5.705
7,4.398,5.754
8,4.211,5.539
9,4.345,5.656
10,4.078,5.227
11,4.104,5.363
12,4.202,5.471
13,4.14,5.314
14,4.095,5.344
15,4.095,5.334
16,4.086,5.344
17,3.819,4.943
18,3.917,4.777
19,3.757,4.572
20,3.828,4.679
21,3.739,4.523
22,3.748,4.582
23,3.766,4.631
24,3.819,4.67
25,3.73,4.504
26,3.766,4.611
27,3.908,4.758
28,4.006,5.275
29,4.006,5.324
30,4.033,5.373
31,4.069,5.344
32,3.997,5.227
33,4.033,5.256
34,3.775,4.846
35,3.748,4.865
36,3.677,4.777
37,3.704,4.865
38,3.891,5.158
39,3.908,5.227
40,4.024,5.461
41,4.024,5.441
42,3.926,5.227
43,3.935,5.295
44,3.873,5.158
45,3.953,5.207
46,3.997,5.324
47,4.033,5.285
48,3.944,5.334
49,4.024,5.383
50,4.113,5.5
51,4.131,5.568
52,4.078,5.549
53,4.078,5.647
54,3.989,5.481
55,4.042,5.568
56,4.006,5.5
57,3.971,5.451
58,4.095,5.588
59,4.069,5.49
60,4.104,5.529
61,4.14,5.549
62,4.149,5.549
63,4.051,5.432
64,4.06,5.52
65,4.167,5.637
66,4.158,5.666
67,4.256,5.764
68,4.247,5.774
69,4.158,5.881
70,4.095,5.744
71,4.095,5.695
72,3.917,5.52
73,3.908,5.441
74,3.917,5.402
75,3.9,5.354
76,3.917,5.412
77,3.891,5.334
78,3.846,5.285
79,3.81,5.295
80,3.864,5.373
81,3.873,5.383
82,3.873,5.373
83,3.784,5.178
84,3.668,4.914
85,3.677,4.904
86,3.624,4.865
87,3.65,4.885
88,3.659,4.885
89,3.686,4.924
90,3.65,4.865
91,3.615,4.806
92,3.597,4.767
93,3.624,4.855
94,3.632,4.855
95,3.615,4.816
96,3.624,4.797
97,3.632,4.826
98,3.597,4.816
99,3.597,4.797
100,3.695,4.973
101,3.677,4.943
102,3.686,4.933
103,3.686,4.953
104,3.677,4.943
105,3.668,4.924
106,3.624,4.865
107,3.677,4.767
108,3.65,4.787
109,3.713,4.885
110,3.677,4.855
111,3.686,4.894
112,3.659,4.885
113,3.632,4.846
114,3.641,4.865
115,3.641,4.836
116,3.597,4.767
117,3.632,4.826
118,3.65,4.846
119,3.686,4.924
120,3.668,4.904
121,3.659,4.914
122,3.713,5.012
123,3.748,5.129
124,3.73,5.1
125,3.757,5.09
126,3.739,5.08
127,3.739,5.1
128,3.784,5.227
129,3.819,5.187
130,3.793,5.197
131,3.784,5.158
132,3.748,5.119
133,3.766,5.109
134,3.766,5.119
135,3.757,5.148
136,3.748,5.129
137,3.766,5.207
138,3.784,5.256
139,3.704,5.08
140,3.721,5.119
141,3.721,5.148
142,3.695,5.168
143,3.704,5.168
144,3.713,5.158
145,3.704,5.158
146,3.713,5.158
147,3.73,5.217
148,3.748,5.256
149,3.757,5.236
150,3.748,5.178
151,3.775,5.246
152,3.864,5.373
153,3.891,5.393
154,3.855,5.373
155,3.882,5.383
156,3.926,5.461
157,3.971,5.354
158,3.971,5.334
159,3.9,5.265
160,3.936,5.197
161,3.917,5.226
162,3.908,5.236
163,3.908,5.207
164,3.88,5.187
165,3.862,5.118
166,3.871,5.158
167,3.945,5.187
168,4.028,5.334
169,4.185,5.471
170,4.185,5.461
171,4.12,5.373
172,4.175,5.422
173,4.129,5.363
174,4.102,5.393
175,4.175,5.52
176,4.139,5.51
177,4.194,5.49
178,4.194,5.481
179,4.258,5.461
180,4.24,5.334
181,4.332,5.353
182,4.314,5.295
183,4.286,5.295
184,4.277,5.363
185,4.222,5.402
186,4.231,5.481
187,4.194,5.422
188,4.175,5.569
189,4.166,5.53
190,4.129,5.441
191,4.24,5.569
192,4.185,5.539
193,4.139,5.539
194,4.194,5.745
195,4.231,5.794
196,4.212,5.715
197,4.166,5.725
198,4.157,5.755
199,4.129,5.852
200,4.203,5.764
201,4.166,5.764
202,4.12,5.715
203,4.139,5.735
204,4.157,5.823
205,4.185,5.823
206,4.185,5.931
207,4.249,6.264
208,4.387,6.224
209,4.434,6.352
210,4.553,6.704
211,4.443,6.596
212,4.415,6.557
213,4.498,6.675
214,4.397,6.577
215,4.434,6.547
216,4.47,6.557
217,4.424,6.459
218,4.424,6.43
219,4.443,6.479
220,4.489,6.635
221,4.507,6.586
222,4.378,6.361
223,4.387,6.312
224,4.24,6.215
225,4.212,6.078
226,4.212,6.127
227,4.304,6.361
228,4.286,6.518
229,4.286,6.508
230,4.129,6.166
231,4.139,6.303
232,4.148,6.312
233,4.175,6.322
234,4.203,6.234
235,4.175,6.087
236,4.139,6.068
237,4.157,6.117
238,4.166,6.117
239,4.129,5.97
240,4.166,6.087
241,4.157,6.038
242,4.166,5.892
243,4.212,5.95
